danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.647,0.822,5.0,-4.662,0.0,0.183,0.219,0.0,0.0908,0.962,160.019
0.412,0.882,11.0,-5.54,0.0,0.0369,5.96e-05,0.00031,0.0805,0.356,158.066
0.617,0.778,9.0,-8.871,0.0,0.027,0.459,0.925,0.128,0.152,100.363
0.41,0.802,10.0,-4.845,1.0,0.33,0.138,8.52e-06,0.237,0.701,84.518
0.276,0.715,0.0,-5.356,1.0,0.0432,0.00552,0.000417,0.201,0.173,137.028
0.324,0.597,0.0,-11.715,1.0,0.0371,0.00257,0.476,0.0785,0.257,138.566
0.616,0.656,5.0,-7.298,1.0,0.0344,0.096,0.000879,0.205,0.286,150.071
0.602,0.905,2.0,-4.046,1.0,0.0775,0.000202,0.064,0.117,0.411,128.019
0.857,0.517,0.0,-6.972,1.0,0.0384,0.565,0.000195,0.102,0.754,129.063
0.566,0.995,7.0,-1.355,0.0,0.0642,0.00954,0.712,0.0832,0.558,119.974
0.559,0.777,1.0,-5.031,1.0,0.0432,0.31,0.0,0.105,0.329,87.016
0.685,0.466,0.0,-9.074,1.0,0.0304,0.794,2.06e-06,0.0915,0.353,79.936
0.625,0.547,0.0,-5.616,1.0,0.0295,0.627,0.0,0.194,0.135,78.482
0.556,0.477,0.0,-8.977,1.0,0.0406,0.0729,0.937,0.0803,0.205,159.552
0.644,0.34,0.0,-14.669,1.0,0.0359,0.0372,0.0,0.0656,0.224,79.993
0.781,0.445,2.0,-6.061,1.0,0.0295,0.474,0.0,0.184,0.591,78.998
0.642,0.171,2.0,-15.793,1.0,0.0536,0.889,0.924,0.0869,0.585,89.199
0.418,0.42,0.0,-6.444,1.0,0.0414,0.588,6.39e-05,0.11,0.184,84.094
0.422,0.264,8.0,-7.064,1.0,0.0322,0.922,0.0,0.132,0.331,119.93
0.548,0.532,5.0,-7.596,1.0,0.0323,0.186,0.000263,0.217,0.405,85.03
0.457,0.854,2.0,-6.2,1.0,0.265,0.0277,9.62e-05,0.731,0.485,172.231
0.807,0.887,9.0,-3.726,1.0,0.0503,0.0573,2.87e-06,0.124,0.961,134.052
0.566,0.755,11.0,-5.526,1.0,0.0368,0.0338,0.0,0.315,0.445,101.006
0.671,0.849,9.0,-5.03,0.0,0.0284,0.163,0.0,0.0937,0.829,125.613
0.75,0.727,5.0,-4.21,0.0,0.142,0.0189,0.0,0.266,0.359,129.993
0.887,0.584,11.0,-8.798,1.0,0.0381,0.41,0.000314,0.101,0.677,114.016
0.486,0.784,0.0,-6.68,1.0,0.0852,0.0339,0.00452,0.53,0.315,195.154
0.912,0.716,10.0,-4.141,0.0,0.0697,0.0904,0.0,0.0491,0.377,94.981
0.729,0.756,8.0,-5.119,1.0,0.0294,0.131,0.0,0.0527,0.522,104.945
0.209,0.602,10.0,-8.771,1.0,0.0334,0.269,0.238,0.15,0.214,89.958
0.479,0.545,7.0,-7.346,1.0,0.0688,0.365,0.0,0.0963,0.244,74.897
0.817,0.599,0.0,-9.249,0.0,0.0328,0.132,0.000311,0.0873,0.548,108.873
0.316,0.769,0.0,-5.283,0.0,0.0422,0.0142,0.0,0.0928,0.127,122.507
0.612,0.807,10.0,-2.81,1.0,0.0336,0.0495,0.0177,0.101,0.398,124.053
0.807,0.634,0.0,-5.539,1.0,0.0663,0.56,0.765,0.0562,0.822,119.972
0.683,0.646,7.0,-4.88,0.0,0.0345,0.264,0.0,0.163,0.504,121.984
0.829,0.51,5.0,-9.334,0.0,0.0369,0.00821,0.0014,0.0829,0.45,119.993
0.609,0.513,0.0,-11.91,1.0,0.0324,0.166,0.00212,0.195,0.237,120.73
0.46,0.686,1.0,-6.43,1.0,0.0301,0.0324,4.45e-06,0.126,0.338,173.829
0.549,0.107,0.0,-16.147,1.0,0.0844,0.957,0.0,0.111,0.307,74.63
0.526,0.762,0.0,-12.437,0.0,0.0342,0.000972,0.000116,0.338,0.505,136.203
0.745,0.706,0.0,-9.084,1.0,0.0307,0.0273,0.758,0.154,0.835,109.996
0.679,0.715,9.0,-6.383,1.0,0.0407,0.0755,0.0,0.271,0.571,127.435
0.749,0.925,10.0,-5.034,1.0,0.227,0.241,0.0,0.52,0.641,86.989
0.754,0.845,7.0,-5.762,0.0,0.456,0.707,0.0,0.173,0.618,86.981
0.805,0.732,7.0,-6.779,0.0,0.313,0.173,0.0,0.0868,0.554,79.999
0.741,0.748,0.0,-6.299,1.0,0.0264,0.0823,0.0,0.34,0.6,127.965
0.714,0.905,8.0,-2.663,1.0,0.0289,0.00855,2.55e-05,0.146,0.838,125.927
0.563,0.592,9.0,-4.571,1.0,0.0276,0.209,5.08e-05,0.132,0.136,104.016
0.716,0.972,7.0,-2.302,1.0,0.196,0.0145,3.22e-05,0.317,0.576,110.026
0.624,0.899,0.0,-5.71,1.0,0.0295,0.0223,0.000155,0.0975,0.797,104.055
0.519,0.845,0.0,-9.881,1.0,0.0301,0.0187,0.891,0.162,0.89,104.019
