,artistName,artistId,songName,songId,availableMarket,songPopularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,aritstPopularity,artistGenre
10,The Temper Trap,4W48hZAnAHVOC2c8WH8pcq,Sweet Disposition,5RoIXwyTCdyUjpMMkk4uPd,US,66.0,0.8662873399715504,0.6886073230967464,0.5454545454545454,0.6813693219223175,1.0,0.35266821345707655,0.008706007305965463,0.002486659551760939,0.8306057995980476,0.7758420441347271,0.5372709656847113,79.0,"alternative hip hop,art pop,rock"
11,MGMT,0SwO7SWeDHJijQ3XNS7xEE,Kids,1jJci4qxiYcOHhQR247rEU,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",77.0,0.507823613086771,0.6445828411897349,0.36363636363636365,0.7637201508169251,0.0,0.04965197215777261,0.662476851450315,0.0,0.11714039621016364,0.38675958188153314,0.45866548930151174,80.0,"folk-pop,irish singer-songwriter,pop"
12,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Rather Be (feat. Jess Glynne),3s4U7OHV7gnj42VV72eSZ6,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JO,JP,KW,LB,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",73.0,0.941678520625889,0.6843122516911844,0.4545454545454546,0.7463043868573824,0.0,0.04825986078886311,0.26852568425764867,8.025613660618995e-06,0.03517082974447315,0.7108013937282229,0.4425584798907666,68.0,"alternative dance,australian dance,australian electropop,dance-punk,electropop,indie pop,indietronica,modern rock,neo-synthpop,new rave,pop"
13,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Counting Stars,6sy3LkhNFjJWlaeSMNwQ62,"CA,MX,US",74.0,0.3442389758179232,0.931278857511006,0.8181818181818182,0.8494224669339878,1.0,0.10881670533642693,0.0007642861636199366,0.005229455709711846,0.4688486936548951,0.07897793263646921,0.40973942619800996,74.0,"alternative dance,garage rock,indie pop,indie rock,indietronica,modern rock,rock"
14,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Radioactive,4G8gkOterJn0Ywt6uhqbhp,"CA,US",73.0,0.03840682788051214,0.19896918286266507,0.5454545454545454,0.5068525944101981,0.0,0.02273781902552203,0.8474353570023094,1.0672358591248665e-06,0.07550961814527705,0.0894308943089431,0.0,89.0,pop
15,The Killers,0C0XlULifJtAgn6ZNCW2eu,Mr. Brightside,7oK9VyNzrYvRFo7nQEYkWN,"CA,MX,US",79.0,0.790896159317212,0.7777300547621604,0.2727272727272727,0.48883835058950276,1.0,0.01902552204176334,0.017316504965561145,0.6275346851654214,0.024260694803330457,0.9988385598141697,0.44177356978750193,72.0,"alternative metal,alternative rock,grunge,modern rock,permanent wave,pop rock,post-grunge,rock"
16,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Uptown Funk,32OlwWuMpZ6b0aN2RZOeMS,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",82.0,0.6486486486486487,0.6939761623536991,0.7272727272727273,0.5349811478843738,1.0,0.01531322505800465,0.03278196192697085,0.10213447171824971,0.4473155325868504,0.7142857142857144,0.442934582648581,51.0,"alternative metal,deathcore,djent,jazz metal,mathcore,melodic metalcore,progressive metal,progressive post-hardcore,sci-fi metal"
17,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,We Found Love,6qn9YLKt13AGvpq9jfO8py,"AD,AR,AU,BG,BO,BR,CA,CL,CO,CR,CY,CZ,DO,EC,EE,ES,FI,GR,GT,HK,HN,HU,ID,IL,IN,IS,JP,LI,LT,LV,MC,MT,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SG,SK,SV,TH,TR,TW,US,VN,ZA",75.0,0.5746799431009957,0.5994845914313326,0.09090909090909091,0.734334789634329,0.0,0.019489559164733168,0.009186690427739008,0.0,0.48176859029572205,0.4413472706155632,0.05850850728085888,87.0,"dance pop,pop,post-teen pop"
18,AWOLNATION,4njdEjTnLfcGImKZu1iSrz,Sail,5xhQChGGhKLWqBqX4XhtYE,"AD,AE,AR,AT,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HN,HU,IE,IL,IN,IS,IT,JO,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,NI,NL,NO,OM,PA,PE,PL,PS,PT,PY,QA,RO,SA,SE,SK,SV,TN,TR,US,UY,ZA",74.0,0.4395448079658606,0.3621818962740255,0.8181818181818182,0.6272667424741158,0.0,0.007888631090487243,0.6708365579159419,0.0001974386339381003,0.12001148435256964,0.07781649245063879,0.15780781149075684,78.0,"arkansas country,outlaw country,traditional country"
19,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Locked Out of Heaven,3w3y8KPTfNeOKPiqUTakBh,"AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JO,JP,KW,LB,LT,LU,LV,MA,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PT,PY,QA,RO,SA,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",78.0,0.14509246088193456,0.0,0.6363636363636364,0.18104015799868334,1.0,0.025290023201856145,0.8380306872284793,1.8996798292422626e-05,0.11139821992535168,0.01626016260162602,0.7519929358090706,2.0,
