artistName,artistId,songName,songId,availableMarket,songPopularity
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,We Found Love,6qn9YLKt13AGvpq9jfO8py,"AD,AR,AU,BG,BO,BR,CA,CL,CO,CR,CY,CZ,DO,EC,EE,ES,FI,GR,GT,HK,HN,HU,ID,IL,IN,IS,JP,LI,LT,LV,MC,MT,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SG,SK,SV,TH,TR,TW,US,VN,ZA",75.0
AWOLNATION,4njdEjTnLfcGImKZu1iSrz,Sail,5xhQChGGhKLWqBqX4XhtYE,"AD,AE,AR,AT,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HN,HU,IE,IL,IN,IS,IT,JO,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,NI,NL,NO,OM,PA,PE,PL,PS,PT,PY,QA,RO,SA,SE,SK,SV,TN,TR,US,UY,ZA",74.0
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Locked Out of Heaven,3w3y8KPTfNeOKPiqUTakBh,"AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JO,JP,KW,LB,LT,LU,LV,MA,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PT,PY,QA,RO,SA,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",78.0
Disclosure,6nS5roXSAGhTGr34W6n7Et,Latch,1DunhgeZSEgWiIYbHqXl0c,"CA,MX,US",70.0
Radiohead,4Z8W4fKeB5YxbusRsdQVPb,Creep,6b2oQwSGFkzsMtQruIWm2p,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",83.0
Radiohead Tribute Band,0ADkBHZhR2cVfANgK5gHQO,Creep,5FahOwrrzUZEoMp3qkH584,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",15.0
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Lonely Boy,5G1sTBGbZT5o4PNRc75RKI,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",74.0
Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,I Will Wait,0hm8rgOY17z7kQJlqGKbu7,"CA,US",71.0
Blur,7MhMgCo0Bl0Kukl93PZbYS,Song 2 - 2012 Remaster,1FTSo4v6BOZH9QxKc3MbVM,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",76.0
Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz,Little Talks,2ihCaVdNZmnHZWt0fvAM7B,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IT,JO,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",76.0
The White Stripes,4F84IBURUo98rz4r61KF70,Seven Nation Army,7i6r9KotUPQg3ozKKgEPIN,"CA,JP,MX,US",76.0
The Karaoke Machine,1SpCo1CAtNQODuohiHGICI,Seven Nation Army (White Stripes Karaoke Tribute),5J0nPPJd5Yz2X1fzqkKISD,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",0.0
The Retro Spectres,4ZULQheLrsg2TXuMYSkTzp,Seven Nation Army (Originally Performed by White Stripes) [Instrumental],51fivJ5ukaHydr3nHfLfQh,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",1.0
The Rock Heroes,0wp7cYNFjMgSHBDdla5aC9,Seven Nation Army (as made famous by White Stripes),79TRsvz0DA25MmNOMDvu6X,US,0.0
Oasis,2DaxqgrOhkeH0fpeiQq2f4,Wonderwall - Remastered,5wj4E6IsrVtn8IBJQOd0Cl,"CA,US",73.0
Sia,5WUlDfRSoLAfcVSX1WnrxN,Chandelier,2s1sdSqGcKxpPr5lCl7jAV,"AD,AE,AR,AT,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",71.0
JAY Z,3nFkdlSjzX9mRTtwJOzDYB,Ni**as In Paris,2KpCpk6HjXXLb7nnXoXA5O,"AE,BH,CA,DZ,EG,JO,KW,LB,MA,MX,OM,QA,SA,TN,US",73.0
Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,Sweet Child O' Mine,7snQQk1zcKl8gZ92AnueZW,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",75.0
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Fix You,7LVHVU3tWfcxj5aiPFEW4Q,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",82.0
