,artistName,artistId,songName,songId,availableMarket,songPopularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,aritstPopularity,artistGenre
11,MGMT,0SwO7SWeDHJijQ3XNS7xEE,Kids,1jJci4qxiYcOHhQR247rEU,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",77.0,0.5660000000000001,0.664,4.0,-5.303,0.0,0.0464,0.634,0.0,0.11599999999999999,0.43700000000000006,128.945,80.0,"folk-pop,irish singer-songwriter,pop"
12,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Rather Be (feat. Jess Glynne),3s4U7OHV7gnj42VV72eSZ6,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JO,JP,KW,LB,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",73.0,0.871,0.701,5.0,-5.593999999999999,0.0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975,68.0,"alternative dance,australian dance,australian electropop,dance-punk,electropop,indie pop,indietronica,modern rock,neo-synthpop,new rave,pop"
13,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Counting Stars,6sy3LkhNFjJWlaeSMNwQ62,"CA,MX,US",74.0,0.451,0.9309999999999999,9.0,-3.8710000000000004,1.0,0.0719,0.0007599999999999999,0.0049,0.361,0.172,122.961,74.0,"alternative dance,garage rock,indie pop,indie rock,indietronica,modern rock,rock"
14,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Radioactive,4G8gkOterJn0Ywt6uhqbhp,"CA,US",73.0,0.23600000000000002,0.249,6.0,-9.595,0.0,0.0348,0.8109999999999999,1e-06,0.087,0.18100000000000002,72.847,89.0,pop
15,The Killers,0C0XlULifJtAgn6ZNCW2eu,Mr. Brightside,7oK9VyNzrYvRFo7nQEYkWN,"CA,MX,US",79.0,0.765,0.7879999999999999,3.0,-9.896,1.0,0.0332,0.0166,0.588,0.0513,0.9640000000000001,126.87899999999999,72.0,"alternative metal,alternative rock,grunge,modern rock,permanent wave,pop rock,post-grunge,rock"
16,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Uptown Funk,32OlwWuMpZ6b0aN2RZOeMS,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",82.0,0.665,0.71,8.0,-9.125,1.0,0.0316,0.0314,0.0957,0.34600000000000003,0.7190000000000001,127.021,51.0,"alternative metal,deathcore,djent,jazz metal,mathcore,melodic metalcore,progressive metal,progressive post-hardcore,sci-fi metal"
17,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,We Found Love,6qn9YLKt13AGvpq9jfO8py,"AD,AR,AU,BG,BO,BR,CA,CL,CO,CR,CY,CZ,DO,EC,EE,ES,FI,GR,GT,HK,HN,HU,ID,IL,IN,IS,JP,LI,LT,LV,MC,MT,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SG,SK,SV,TH,TR,TW,US,VN,ZA",75.0,0.613,0.622,1.0,-5.794,0.0,0.0334,0.00882,0.0,0.37,0.484,80.003,87.0,"dance pop,pop,post-teen pop"
18,AWOLNATION,4njdEjTnLfcGImKZu1iSrz,Sail,5xhQChGGhKLWqBqX4XhtYE,"AD,AE,AR,AT,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HN,HU,IE,IL,IN,IS,IT,JO,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,NI,NL,NO,OM,PA,PE,PL,PS,PT,PY,QA,RO,SA,SE,SK,SV,TN,TR,US,UY,ZA",74.0,0.518,0.401,9.0,-7.582999999999999,0.0,0.0284,0.642,0.000185,0.11800000000000001,0.171,92.148,78.0,"arkansas country,outlaw country,traditional country"
19,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Locked Out of Heaven,3w3y8KPTfNeOKPiqUTakBh,"AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JO,JP,KW,LB,LT,LU,LV,MA,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PT,PY,QA,RO,SA,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",78.0,0.311,0.0637,7.0,-15.039000000000001,1.0,0.0359,0.802,1.7800000000000002e-05,0.11199999999999999,0.11800000000000001,164.821,2.0,
20,Disclosure,6nS5roXSAGhTGr34W6n7Et,Latch,1DunhgeZSEgWiIYbHqXl0c,"CA,MX,US",70.0,0.774,0.7559999999999999,1.0,-4.995,1.0,0.0389,0.0423,0.0,0.305,0.9309999999999999,144.032,70.0,"pop,reggae fusion"
